t_us,ads_ch1,ads_ch2,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,dt0_us,dt1_us,dt2_us
525466951,6471325,6477649,16148,4294966932,4294965546,4294966796,4294967101,4294967275,13767,6948,6250,4294967234,507,4294967151,16170,4294963162,1856,391,214,4294967274,4294966718,4294966718,4294966718
525474946,6470971,6477093,16194,4294966976,4294965598,4294966714,4294967042,4294967273,13759,6956,6212,4294967165,543,4294967142,16152,4294963176,2100,285,201,4294967257,4294966719,4294966719,4294966719
525482950,6471507,6477353,16243,4294966920,4294965597,4294966705,4294966977,32,13777,6977,6125,4294967158,641,4294967140,16199,4294963086,2010,283,138,4294967198,4294966717,4294966717,4294966717
525490940,6470776,6476541,16217,4294966861,4294965588,4294966712,4294966899,57,13794,7014,5967,4294967118,732,4294967139,16247,4294963069,2124,226,128,4294967160,4294966727,4294966727,4294966727
525498958,6471876,6477628,16214,4294966818,4294965584,4294966806,4294966857,111,13829,6970,6076,4294967071,769,4294967098,16171,4294963021,1779,286,72,4294967098,4294966711,4294966711,4294966711
525506960,6470568,6476111,16204,4294966733,4294965449,4294966803,4294966805,135,13914,6906,6389,4294967233,759,4294967083,16220,4294963092,1635,281,132,4294967112,4294966714,4294966714,4294966714
525514958,6471299,6477421,16230,4294966552,4294965459,4294966757,4294966719,134,13950,7030,6400,151,730,4294967059,16323,4294963195,1870,360,116,4294967144,4294966716,4294966716,4294966716
525520941,6472304,6478673,16250,4294966523,4294965386,4294966693,4294966665,115,13920,7039,6357,212,709,4294967075,16429,4294963262,2042,410,65,4294967131,4294966726,4294966726,4294966726
525526958,6470790,6476837,16245,4294966564,4294965337,4294966811,4294966686,99,13934,7145,6375,233,707,4294967080,16365,4294963189,2227,487,72,4294967159,4294966711,4294966711,4294966711
525532945,6470863,6476943,16220,4294966576,4294965381,4294966926,4294966720,63,13924,7141,6319,206,678,4294967108,16285,4294963204,2110,651,86,4294967143,4294966722,4294966722,4294966722
525538948,6471544,6477658,16139,4294966532,4294965200,4294967008,4294966761,45,13953,7093,6237,69,640,4294967106,16208,4294963275,2056,758,68,4294967139,4294966720,4294966720,4294966720
525544952,6470846,6476749,16196,4294966526,4294965306,4294967050,4294966856,11,13918,7108,6164,4294967209,618,4294967184,16236,4294963239,2015,791,92,4294967246,4294966720,4294966720,4294966720
525552956,6470998,6476560,16152,4294966459,4294965110,4294967113,4294966976,4294967236,14011,7053,6309,4294967042,576,4294967241,16130,4294963191,2061,809,130,18,4294966716,4294966716,4294966716
525560944,6471615,6477533,16176,4294966435,4294965282,4294967134,4294967046,4294967145,14112,7060,6415,4294967123,404,21,16184,4294963185,2168,744,77,68,4294966720,4294966720,4294966720
525566955,6471075,6477474,16299,4294966595,4294965308,4294967179,4294967020,4294967078,14073,7066,6521,4294967254,253,58,16275,4294963162,2202,725,4294967290,78,4294966715,4294966715,4294966715
525574941,6471292,6477095,16339,4294966636,4294965449,4294967213,4294967013,4294967031,14082,7162,6638,116,112,153,16340,4294963195,2500,874,4294967051,103,4294966721,4294966721,4294966721
525580951,6471709,6477737,16371,4294966746,4294965521,4294967199,4294966968,4294967036,14146,7233,6707,124,4294967251,211,16396,4294963413,2390,974,4294966951,173,4294966721,4294966721,4294966721
525588948,6470372,6476079,16468,4294966818,4294965438,4294967266,4294966827,4294967102,14093,7267,6749,4294967280,4294967083,276,16441,4294963500,2394,1089,4294966917,185,4294966722,4294966722,4294966722
525596961,6471330,6477387,16499,4294966742,4294965366,203,4294966691,4294967117,14119,7219,6880,4294967279,4294966971,420,16344,4294963510,2450,1125,4294966901,294,4294966715,4294966715,4294966715
525604947,6471302,6477300,16444,4294966855,4294965047,667,4294966628,4294967156,13925,7208,6859,243,4294966830,511,16415,4294963624,2295,1212,4294966885,358,4294966722,4294966722,4294966722
