t_us,ads_ch1,ads_ch2,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,dt0_us,dt1_us,dt2_us
721810951,6471364,6499559,13419,5709,6890,44,4294966977,67,11387,5709,11258,327,509,4294967225,14504,4294964495,7888,1208,4294966570,4294967277,4294966719,4294966719,4294966719
721816958,6472426,6502379,13388,5651,6850,46,4294967012,43,11329,5705,11284,324,524,4294967228,14452,4294964454,8036,1218,4294966556,4294967253,4294966716,4294966716,4294966716
721822947,6468742,6496357,13335,5633,7005,88,4294967033,42,11327,5608,11212,298,534,4294967246,14393,4294964317,8228,1278,4294966515,4294967251,4294966723,4294966723,4294966723
721828965,6464262,6488520,13228,5569,7064,96,4294967040,31,11340,5691,11278,264,537,4294967244,14338,4294964329,8354,1337,4294966461,4294967236,4294966713,4294966713,4294966713
721834958,6463046,6488419,13272,5560,6929,100,4294966991,18,11366,5610,11278,237,488,4294967254,14345,4294964362,8350,1393,4294966421,4294967249,4294966713,4294966713,4294966713
721840941,6463720,6490709,13280,5540,6948,96,4294966937,20,11341,5543,11398,243,455,8,14273,4294964368,8334,1438,4294966401,4294967272,4294966723,4294966723,4294966723
721846936,6464149,6490503,13366,5570,6891,93,4294966891,4294967286,11256,5561,11417,361,436,30,14271,4294964425,8280,1557,4294966376,4294967287,4294966730,4294966730,4294966730
721852956,6465472,6491835,13296,5507,6890,86,4294966852,4294967264,11230,5608,11253,381,363,21,14256,4294964528,8215,1676,4294966323,32,4294966719,4294966719,4294966719
721858974,6466442,6493023,13288,5482,6952,63,4294966897,4294967226,11180,5589,11325,327,261,54,14206,4294964612,8061,1819,4294966335,87,4294966704,4294966704,4294966704
721864956,6466657,6493660,13410,5467,6881,62,4294966916,4294967174,11093,5570,11471,338,208,93,14273,4294964721,7836,1854,4294966408,216,4294966713,4294966713,4294966713
721870962,6466039,6492645,13318,5581,6976,53,4294966949,4294967162,11081,5587,11379,423,288,180,14319,4294964761,7741,1806,4294966432,337,4294966713,4294966713,4294966713
721876965,6466598,6493626,13302,5622,7101,70,4294967019,4294967124,11019,5593,11165,478,295,216,14451,4294964863,7861,1715,4294966460,425,4294966709,4294966709,4294966709
721882962,6467113,6493919,13292,5708,7117,92,4294967098,4294967114,11026,5527,11166,475,339,216,14451,4294964854,7701,1654,4294966507,591,4294966711,4294966711,4294966711
721888933,6466964,6493355,13161,5731,7195,120,4294967156,4294967106,11020,5381,11356,543,371,243,14395,4294964877,7562,1627,4294966552,708,4294966731,4294966731,4294966731
721894954,6466585,6493850,13094,5759,7305,137,4294967185,4294967102,11024,5543,11430,587,358,277,14418,4294964752,7578,1522,4294966597,809,4294966716,4294966716,4294966716
721900938,6467813,6494768,13119,5871,7223,110,4294967216,4294967141,11071,5589,11536,598,283,284,14336,4294964670,7438,1567,4294966655,915,4294966726,4294966726,4294966726
721906956,6467136,6493757,13228,5984,7031,170,4294967170,4294967228,10989,5493,11584,663,203,296,14226,4294964699,7627,1647,4294966785,973,4294966716,4294966716,4294966716
721912958,6467017,6493887,13323,6033,6861,248,4294967169,15,11025,5440,11625,670,168,223,14262,4294964733,7711,1501,4294966934,1035,4294966713,4294966713,4294966713
721918949,6468116,6494704,13396,6048,6697,296,4294967162,66,10882,5449,11434,554,84,136,14158,4294964814,7675,1318,4294967109,1068,4294966721,4294966721,4294966721
721924955,6467396,6494138,13451,6047,6548,316,4294967260,97,10964,5548,11212,407,14,42,14125,4294964947,7436,985,102,1191,4294966717,4294966717,4294966717
721930960,6466592,6493882,13428,5995,6514,320,158,94,10875,5540,10982,315,85,4294967274,14186,4294965067,7302,591,367,1284,4294966712,4294966712,4294966712
721936962,6467259,6494426,13351,5942,6490,246,395,63,11006,5516,10991,334,175,4294967199,14294,4294965011,7365,147,542,1353,4294966712,4294966712,4294966712
721942951,6468297,6495397,13331,5877,6592,148,638,22,11046,5512,10978,378,225,4294967068,14394,4294964905,7336,4294967127,575,1315,4294966719,4294966719,4294966719
721948974,6467727,6495107,13257,5852,6809,71,787,4294967260,10973,5559,11024,448,242,4294966975,14371,4294964838,7401,4294966998,598,1223,4294966704,4294966704,4294966704
721954946,6468162,6495095,13217,5848,6987,4294967290,807,4294967233,10990,5578,11210,520,239,4294966896,14353,4294964782,7519,4294966859,601,1176,4294966719,4294966719,4294966719
721960961,6468776,6496014,13229,5882,6928,4294967293,764,4294967217,11006,5659,11353,593,134,4294966810,14326,4294964744,7536,4294966666,577,1064,4294966711,4294966711,4294966711
721966948,6467878,6495767,13186,5944,7054,28,738,4294967232,11009,5822,11346,675,34,4294966779,14298,4294964770,7520,4294966402,552,945,4294966720,4294966720,4294966720
721972968,6467618,6495488,13173,5948,7043,92,687,4294967265,11064,5895,11368,756,4294967295,4294966792,14324,4294964634,7559,4294966309,618,867,4294966708,4294966708,4294966708
721978950,6468930,6496508,13281,6005,7096,155,607,21,10979,5881,11372,776,4294967279,4294966815,14330,4294964645,7438,4294966192,652,840,4294966721,4294966721,4294966721
721984948,6468767,6496498,13295,6055,7188,172,512,37,11051,5935,11173,753,25,4294966796,14389,4294964751,7302,4294965932,810,858,4294966721,4294966721,4294966721
721990947,6468563,6496083,13359,6007,7309,150,443,47,11116,5939,11103,691,129,4294966811,14422,4294964774,7244,4294965588,967,880,4294966724,4294966724,4294966724
721996936,6469385,6497072,13365,5998,7321,73,361,53,11126,5909,11149,612,242,4294966755,14511,4294964727,7078,4294965322,1172,931,4294966729,4294966729,4294966729
722002944,6469059,6496771,13460,5914,7350,4294967253,317,24,11183,5865,11148,553,310,4294966729,14568,4294964509,7197,4294965160,1297,937,4294966724,4294966724,4294966724
722008942,6468593,6496326,13488,5884,7286,4294967116,218,23,11240,5799,11144,349,413,4294966674,14542,4294964272,7573,4294965279,1253,864,4294966724,4294966724,4294966724
722014959,6468541,6496293,13523,5802,7354,4294967014,117,4294967290,11309,5808,11058,146,429,4294966678,14617,4294964033,7763,4294965552,1129,753,4294966713,4294966713,4294966713
722020952,6469205,6497248,13558,5681,7323,4294966891,16,4294967266,11422,5724,11028,4294967215,464,4294966623,14600,4294963920,8007,4294965787,1007,585,4294966716,4294966716,4294966716
722026961,6468217,6496213,13586,5593,7065,4294966886,4294967280,4294967233,11559,5735,11045,4294966997,485,4294966623,14513,4294963881,8116,4294965920,900,436,4294966712,4294966712,4294966712
722034963,6467908,6495315,13589,5495,7014,4294966933,61,4294967243,11575,5631,11079,4294966922,452,4294966622,14458,4294963911,8024,4294966120,867,284,4294966710,4294966710,4294966710
722040943,6468492,6496517,13563,5485,6951,4294967004,183,4294967252,11568,5673,11221,4294966946,438,4294966643,14440,4294964082,7979,4294966077,931,230,4294966726,4294966726,4294966726
722046958,6467608,6495167,13531,5487,6862,4294967050,352,4294967253,11573,5716,11303,4294967027,372,4294966668,14491,4294964130,7884,4294965907,1077,229,4294966713,4294966713,4294966713
722052944,6468369,6495372,13557,5464,6941,4294967070,508,4294967225,11587,5754,11255,4294967126,369,4294966707,14464,4294964222,7717,4294965611,1307,373,4294966722,4294966722,4294966722
722058947,6468660,6495739,13459,5460,7077,4294967073,651,4294967206,11516,5761,11243,4294967239,376,4294966761,14368,4294964379,7917,4294965474,1523,562,4294966721,4294966721,4294966721
722064948,6468151,6495508,13390,5494,7159,4294967012,741,4294967177,11466,5743,11256,4294967294,443,4294966766,14385,4294964191,7636,4294965272,1715,800,4294966722,4294966722,4294966722
722070948,6466941,6494241,13394,5450,7315,4294966945,742,4294967114,11514,5697,11167,0,516,4294966816,14393,4294964235,7394,4294965249,1993,991,4294966720,4294966720,4294966720
722076953,6468060,6495225,13304,5523,7470,4294966890,661,4294967104,11375,5510,11292,223,550,4294966808,14337,4294964183,7553,4294965120,2217,1233,4294966716,4294966716,4294966716
722082957,6468601,6495607,13239,5475,7440,4294966877,556,4294967057,11277,5511,11306,324,636,4294966790,14375,4294964323,7433,4294964930,2357,1415,4294966713,4294966713,4294966713
722088949,6467423,6493897,13227,5541,7460,4294966892,442,4294967016,11241,5471,11249,451,688,4294966757,14376,4294964189,7674,4294964860,2425,1588,4294966720,4294966720,4294966720
722094943,6467049,6493542,13145,5553,7410,4294966974,315,4294967028,11210,5513,11150,461,821,4294966801,14501,4294963913,7909,4294965015,2278,1641,4294966723,4294966723,4294966723
722100969,6466988,6494167,13146,5542,7413,4294967073,264,4294967022,11323,5625,11019,481,896,4294966771,14508,4294963709,8215,4294965267,2031,1596,4294966710,4294966710,4294966710
722106952,6466796,6493777,13151,5587,7319,4294967205,276,4294967080,11323,5579,11048,393,953,4294966784,14540,4294963494,8506,4294965691,1672,1472,4294966717,4294966717,4294966717
722112949,6467552,6493756,13131,5570,7327,19,328,4294967133,11349,5529,11032,410,928,4294966785,14611,4294963409,8715,4294966070,1304,1285,4294966720,4294966720,4294966720
722118954,6467851,6494272,13140,5589,7287,55,416,4294967195,11400,5554,11296,639,807,4294966826,14463,4294963553,8612,4294966200,1068,1254,4294966718,4294966718,4294966718
722124937,6467107,6493180,13096,5636,7298,111,465,4294967235,11377,5401,11645,698,680,4294966797,14247,4294963591,8270,4294966289,979,1238,4294966726,4294966726,4294966726
722130939,6466553,6492796,13049,5701,7333,133,457,4294967258,11325,5293,11830,1045,541,4294966826,14237,4294963628,8163,4294966350,1025,1278,4294966728,4294966728,4294966728
722136975,6467278,6493561,13037,5650,7323,93,396,24,11245,5283,11701,1369,518,4294966793,14169,4294963738,8081,4294966426,1094,1289,4294966700,4294966700,4294966700
722142938,6467971,6494555,13088,5725,7271,80,251,42,11241,5406,11468,1558,564,4294966813,14100,4294963765,7930,4294966260,1328,1409,4294966728,4294966728,4294966728
722148955,6467014,6493619,13095,5722,7399,42,112,28,11102,5471,11296,1506,644,4294966811,14115,4294963787,7627,4294966164,1630,1441,4294966715,4294966715,4294966715
722154957,6467022,6494287,13079,5694,7374,4294967292,23,4294967289,10991,5404,11170,1387,805,4294966781,14138,4294963829,7344,4294966012,2005,1586,4294966718,4294966718,4294966718
722160965,6468129,6495188,13091,5675,7420,4294967237,4294967251,4294967260,10971,5449,10993,1285,958,4294966741,14161,4294963806,7453,4294965809,2271,1626,4294966709,4294966709,4294966709
722166966,6467604,6494057,13046,5684,7375,4294967139,4294967229,4294967226,10998,5659,10935,1184,1135,4294966841,14200,4294963621,7837,4294965760,2219,1590,4294966709,4294966709,4294966709
722172953,6466939,6493569,13064,5597,7404,4294967117,4294967177,4294967213,10841,5504,10906,1273,1246,4294966758,14596,4294963115,8193,4294966225,1929,1019,4294966715,4294966715,4294966715
722178960,6468021,6494951,13029,5613,7414,4294967117,4294967127,4294967192,10911,5540,11145,1389,1278,4294966689,14285,4294963394,7954,4294965678,2014,1202,4294966712,4294966712,4294966712
722184965,6467178,6494035,13138,5674,7335,4294967147,4294967086,4294967191,11114,5509,11208,1450,1175,4294966605,14017,4294963289,8295,4294965871,1774,968,4294966711,4294966711,4294966711
722190948,6466846,6493442,13204,5592,7213,4294967196,4294967092,4294967195,11186,5644,11107,1582,1218,4294966565,14137,4294963178,8391,4294966148,1413,783,4294966721,4294966721,4294966721
722196952,6468197,6494769,13246,5653,7114,4294967247,4294967159,4294967183,11169,5607,11025,1698,1251,4294966540,14224,4294963365,8407,4294966249,1343,688,4294966716,4294966716,4294966716
722202942,6467759,6494153,13265,5691,7039,4294967283,4294967283,4294967169,10995,5606,10838,1901,1420,4294966422,14126,4294963474,8426,4294965940,1384,551,4294966723,4294966723,4294966723
722208947,6466855,6493127,13300,5692,7071,4294967266,130,4294967157,11189,5776,10939,2008,1518,4294966411,13922,4294963533,8449,4294965959,1225,520,4294966719,4294966719,4294966719
722214942,6466889,6493375,13349,5716,7218,4294967223,226,4294967127,11057,5852,11016,2099,1506,4294966324,13937,4294963535,8344,4294965766,1098,477,4294966726,4294966726,4294966726
722220951,6467262,6494476,13303,5709,7370,4294967152,267,4294967093,11094,5868,11208,2159,1434,4294966219,14067,4294963484,8153,4294965592,1104,355,4294966717,4294966717,4294966717
722226944,6466377,6493680,13315,5688,7397,4294967058,259,4294967072,11021,5841,11304,2104,1374,4294966235,14073,4294963424,8187,4294965565,1113,231,4294966722,4294966722,4294966722
722232946,6466507,6493389,13312,5722,7546,4294967014,220,4294967037,11045,6026,11460,2266,1315,4294966234,14172,4294963402,8033,4294965495,1100,126,4294966721,4294966721,4294966721
722238953,6467377,6494462,13399,5762,7529,4294966992,186,4294967058,10881,6060,11408,2269,1253,4294966289,13901,4294963310,8211,4294965676,984,31,4294966718,4294966718,4294966718
722244947,6467813,6494352,13305,5705,7462,4294967061,177,4294967092,10855,5985,11338,2117,1319,4294966213,14044,4294963386,8009,4294965835,858,4294967269,4294966724,4294966724,4294966724
722250943,6467180,6493311,13331,5705,7348,4294967134,204,4294967145,10891,6031,11268,1943,1461,4294966249,14180,4294963272,7867,4294965862,1016,4294967142,4294966725,4294966725,4294966725
722256945,6467250,6493859,13306,5741,7371,4294967246,254,4294967177,10911,6186,11160,1767,1596,4294966257,13887,4294963350,7812,4294965891,1219,4294967241,4294966722,4294966722,4294966722
722262956,6466852,6494209,13258,5760,7334,7,271,4294967165,10891,6038,11311,1886,1519,4294966319,13904,4294963399,7698,4294965876,1455,4294967269,4294966716,4294966716,4294966716
722268946,6466486,6493119,13260,5717,7405,4294967277,366,4294967129,11445,6956,11199,1854,1448,4294966352,13803,4294963476,7870,4294965721,1806,108,4294966722,4294966722,4294966722
722274965,6467409,6493708,13201,5722,7373,4294967240,417,4294967119,10830,6055,11282,1520,1477,4294966319,13994,4294963496,7850,4294965700,2011,238,4294966710,4294966710,4294966710
722280956,6467544,6494053,13204,5790,7403,4294967059,368,4294967070,10907,6092,11397,1902,1512,4294966444,13887,4294963418,8062,4294965521,2169,344,4294966719,4294966719,4294966719
722286964,6466874,6493713,13088,5763,7451,4294966965,363,4294967060,10965,6314,11285,2281,1368,4294966241,13828,4294963285,8305,4294965579,1941,408,4294966710,4294966710,4294966710
722292944,6465877,6493168,13148,5732,7366,4294966834,274,4294967061,11045,6579,11220,2134,1581,4294966380,14024,4294963133,8394,4294965533,1748,377,4294966724,4294966724,4294966724
722298952,6467247,6494974,13200,5720,7315,4294966910,115,4294967027,10959,6578,11160,2019,1539,4294966305,14403,4294962988,8602,4294965437,1570,185,4294966721,4294966721,4294966721
722304954,6467043,6494417,13174,5776,7269,4294966968,53,4294967055,11139,6897,11055,1738,1828,4294966568,14282,4294962833,8692,4294965512,1262,123,4294966719,4294966719,4294966719
722310958,6466242,6493455,13165,5664,7292,4294966995,4294967248,4294967073,10622,6050,11197,1740,2008,4294966601,14173,4294962726,8909,4294965825,1034,4294967233,4294966715,4294966715,4294966715
722318944,6466919,6494088,13225,5633,7364,4294967084,4294967210,4294966983,10838,6359,11309,2104,2007,4294966479,13817,4294962951,9062,4294966519,652,4294967129,4294966725,4294966725,4294966725
722326959,6466467,6494087,13215,5655,7394,4294967134,4294967200,4294967009,10699,6445,11400,1781,2059,4294966515,13814,4294963143,8864,4294967003,475,4294967113,4294966714,4294966714,4294966714
722334947,6466598,6493743,13241,5751,7284,4294967136,4294967244,4294966954,10889,6617,11400,2067,1861,4294966351,13740,4294963388,8494,4294966909,798,4294967230,4294966719,4294966719,4294966719
722342945,6467283,6494999,13294,5751,7272,4294967056,59,4294966885,10959,6744,11273,1660,1890,4294966459,13507,4294963440,8410,4294967009,1069,149,4294966722,4294966722,4294966722
722348948,6467123,6494551,13168,5839,7427,4294967035,121,4294966818,10915,6778,11226,2053,1754,4294966624,13657,4294963163,8164,4294966941,1177,312,4294966723,4294966723,4294966723
722354954,6466606,6493778,13224,5682,7378,4294966946,222,4294966749,10993,7095,11110,2306,1703,4294966689,13900,4294963147,8063,4294966698,1518,381,4294966718,4294966718,4294966718
722360932,6466953,6494398,13097,5696,7450,4294966897,302,4294966726,10974,7204,11288,2164,1745,4294966970,13891,4294963139,8167,4294966562,1414,451,4294966732,4294966732,4294966732
722366948,6465799,6492767,13083,5614,7472,4294966837,283,4294966710,11001,7174,11415,2400,1665,4294967173,13877,4294963079,8220,4294966667,1253,543,4294966720,4294966720,4294966720
722372937,6465785,6492513,13133,5646,7455,4294966868,265,4294966726,10910,7106,11503,2600,1454,34,14112,4294963003,8297,4294966674,1002,567,4294966728,4294966728,4294966728
722378950,6467132,6493896,13111,5627,7463,4294966906,179,4294966769,10909,7105,11562,2433,1312,175,14402,4294963019,8405,4294966486,879,619,4294966722,4294966722,4294966722
722384955,6466559,6493148,13141,5515,7516,4294966958,51,4294966751,11117,7109,11354,2289,1235,232,14328,4294962912,8531,4294966537,781,670,4294966719,4294966719,4294966719
722390948,6466137,6492689,13132,5620,7476,4294967005,4294967196,4294966772,11229,7134,11245,2118,1331,417,14302,4294962824,8626,4294966771,631,666,4294966718,4294966718,4294966718
722396956,6466051,6493437,13174,5586,7483,4294967005,4294967024,4294966848,11179,6875,11225,2215,1282,512,14107,4294962901,8524,4294967115,559,776,4294966716,4294966716,4294966716
722402957,6466311,6492859,13212,5537,7399,4294967024,4294966893,4294966862,11184,6851,11321,2179,1172,536,13957,4294963077,8418,191,497,833,4294966715,4294966715,4294966715
722408967,6466285,6492438,13230,5566,7390,4294967052,4294966811,4294966830,11163,6822,11341,1994,1138,568,13945,4294963199,8454,463,523,990,4294966710,4294966710,4294966710
722414972,6466075,6492550,13269,5619,7460,4294967021,4294966787,4294966791,11141,6888,11283,1953,1172,639,13817,4294963416,8339,529,606,1069,4294966706,4294966706,4294966706
722420951,6466556,6494063,13396,5550,7215,4294966937,4294966751,4294966704,11035,7069,11317,1941,1222,711,13958,4294963298,8110,478,691,1158,4294966721,4294966721,4294966721
722426949,6465957,6493310,13248,5521,7319,4294966881,4294966760,4294966586,10827,6965,11458,1717,1282,857,13895,4294963377,8098,501,823,1190,4294966720,4294966720,4294966720
722432935,6466670,6494031,13452,5549,7176,4294966992,4294966711,4294966513,10558,7091,11472,1687,1184,842,14019,4294963328,7999,443,811,1231,4294966729,4294966729,4294966729
722438949,6470068,6497033,13396,5616,7346,4294966957,4294966999,4294966457,10739,7097,11534,1453,1379,951,14030,4294963333,8230,473,747,1130,4294966720,4294966720,4294966720
722444961,6472113,6500572,13531,5524,7248,4294967067,4294966886,4294966460,10233,7081,11571,1463,1325,984,14202,4294963183,8026,413,661,1133,4294966714,4294966714,4294966714
722450963,6468664,6497187,13332,5686,7390,34,4294967081,4294966491,10291,7237,11516,1311,1448,1008,14633,4294963015,8121,344,614,996,4294966709,4294966709,4294966709
722456965,6465964,6491381,13167,5788,7430,186,4294967223,4294966570,10388,7320,11325,1275,1631,1056,14291,4294963143,8400,469,716,918,4294966710,4294966710,4294966710
