t_us,ads_ch1,ads_ch2,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,dt0_us,dt1_us,dt2_us
1256084850,6465738,6476969,15315,3654,3395,15,4294967065,4294967242,12524,6454,8828,889,405,4294967029,14478,4294963389,6992,318,118,96,4294966714,4294966714,4294966714
1256090832,6465644,6476888,15287,3546,3419,4294967218,4294967227,4294967232,12463,6555,9035,976,344,4294967109,14602,4294963369,6956,268,4294967293,160,4294966726,4294966726,4294966726
1256096836,6466234,6477246,15358,3494,3420,4294967119,131,4294967133,12495,6559,9133,1051,258,4294967117,14591,4294963366,6995,209,4294967194,168,4294966722,4294966722,4294966722
1256102840,6465965,6477203,15265,3452,3507,4294967045,302,4294967041,12431,6597,9324,1187,180,4294967140,14616,4294963378,6856,203,4294967050,175,4294966722,4294966722,4294966722
1256108859,6465717,6477246,15271,3475,3569,4294966971,417,4294966977,12375,6657,9393,1422,87,4294967174,14665,4294963461,6814,218,4294966984,270,4294966712,4294966712,4294966712
1256114855,6466391,6477443,15279,3574,3645,4294966915,436,4294966904,12334,6660,9404,1658,66,4294967215,14731,4294963484,6725,250,4294966943,369,4294966714,4294966714,4294966714
1256120830,6466022,6477392,15280,3637,3776,4294966896,324,4294966917,12313,6576,9220,1829,173,4294967204,14820,4294963529,6707,333,4294966948,433,4294966729,4294966729,4294966729
1256126858,6465605,6477297,15317,3718,3829,4294967003,100,4294966966,12213,6624,9194,2049,299,4294967227,14757,4294963520,6671,412,4294966951,504,4294966711,4294966711,4294966711
1256132838,6466117,6477523,15300,3734,3944,4294967068,4294967172,4294967020,12206,6641,9039,2111,579,4294967162,14872,4294963473,6698,421,4294966967,527,4294966724,4294966724,4294966724
1256138826,6466616,6477762,15362,3867,3992,4294967193,4294966917,4294967118,12309,6738,8958,2207,848,4294967128,14891,4294963268,6774,525,4294967008,543,4294966730,4294966730,4294966730
1256144860,6466234,6477932,15339,3887,3984,4294967212,4294966664,4294967185,12370,6728,8839,2150,1160,4294967034,14916,4294963115,6852,682,4294967022,498,4294966712,4294966712,4294966712
1256150862,6466078,6478073,15425,3884,3925,4294967228,4294966508,4294967294,12350,6623,8968,2346,1346,4294967062,14900,4294963022,6873,889,4294967012,372,4294966711,4294966711,4294966711
1256156841,6466581,6478257,15464,3803,3776,4294967253,4294966485,87,12466,6668,9013,2292,1498,4294967086,14777,4294963013,6917,977,4294967054,329,4294966723,4294966723,4294966723
1256162851,6466245,6478148,15507,3704,3738,4294967279,4294966487,127,12535,6662,9049,2369,1485,4294967044,14857,4294963119,6874,1043,4294967112,349,4294966718,4294966718,4294966718
1256168872,6466180,6477988,15502,3571,3666,4294967221,4294966544,132,12527,6549,9222,2625,1477,4294967053,14702,4294963020,6665,1178,4294967216,318,4294966699,4294966699,4294966699
1256174834,6466873,6478260,15440,3465,3533,4294967216,4294966663,90,12594,6742,9231,2629,1460,4294967088,14596,4294963033,6551,1236,85,264,4294966727,4294966727,4294966727
1256180849,6466436,6477846,15481,3318,3491,4294967253,4294966760,39,12476,6595,9367,2452,1420,4294967137,14491,4294963061,6455,1051,272,274,4294966719,4294966719,4294966719
1256186833,6466273,6477996,15437,3242,3604,4294967235,4294966890,4294967257,12426,6634,9267,2267,1300,4294967126,14551,4294963131,6331,1049,359,344,4294966724,4294966724,4294966724
1256192849,6466682,6478154,15423,3306,3497,43,4294967025,4294967202,12427,6780,9308,2275,1171,4294967160,14711,4294963193,6197,1002,478,454,4294966720,4294966720,4294966720
1256198858,6466374,6477894,15347,3305,3511,90,4294967122,4294967118,12312,6727,9336,2044,1184,4294967143,14782,4294963234,6186,893,520,537,4294966711,4294966711,4294966711
1256204847,6465954,6477526,15366,3339,3489,122,4294967243,4294967044,12280,6853,9388,2121,1133,4294967120,14855,4294963294,6215,735,468,624,4294966716,4294966716,4294966716
1256210840,6465817,6477413,15321,3404,3557,148,74,4294967013,12268,6825,9314,2159,1153,4294967148,14868,4294963314,6323,703,391,701,4294966721,4294966721,4294966721
1256216855,6466127,6477085,15256,3469,3431,130,158,4294967010,12112,6917,9361,2277,1148,4294967190,14836,4294963416,6395,672,485,703,4294966712,4294966712,4294966712
1256222843,6465269,6476331,15247,3545,3518,112,220,4294966985,12060,6991,9323,2537,1053,4294967267,14671,4294963503,6484,589,284,658,4294966717,4294966717,4294966717
1256228845,6464678,6475847,15221,3547,3566,92,297,4294967017,12105,7121,9193,2486,1139,4294967260,14681,4294963526,6520,564,247,736,4294966718,4294966718,4294966718
1256234859,6465694,6476372,15212,3653,3620,7,320,4294967017,12153,7072,9071,2475,1118,4294967281,14799,4294963542,6667,672,203,717,4294966715,4294966715,4294966715
1256240837,6465358,6476073,15188,3630,3680,4294967239,312,4294967019,12301,7058,8766,2485,1107,4294967255,14891,4294963533,6526,587,199,764,4294966725,4294966725,4294966725
1256246847,6464436,6475450,15125,3608,3838,4294967162,243,4294967021,12402,6860,8584,2678,1059,4294967210,14924,4294963485,6382,608,227,792,4294966718,4294966718,4294966718
1256252850,6465127,6475948,15110,3595,3802,4294967080,95,4294966969,12605,6731,8620,2761,1017,4294967161,14765,4294963502,6308,542,330,779,4294966717,4294966717,4294966717
1256258860,6465118,6475700,15156,3531,3829,4294966922,4294967195,4294966945,12595,6516,8747,2899,961,4294967180,14874,4294963569,6258,406,514,730,4294966714,4294966714,4294966714
1256264839,6464290,6475184,15216,3496,3830,4294966867,4294966960,4294966877,12679,6912,8770,2556,1031,4294967208,14768,4294963559,6335,186,692,689,4294966725,4294966725,4294966725
1256270844,6465058,6475792,15266,3499,3807,4294966811,4294966769,4294966865,12521,6745,8972,2598,823,4294967137,14648,4294963443,6329,175,806,669,4294966719,4294966719,4294966719
1256276860,6465507,6475937,15370,3500,3822,4294966772,4294966560,4294966837,12643,6936,8976,3074,588,4294967236,14840,4294963353,6188,176,859,614,4294966710,4294966710,4294966710
1256282838,6465232,6475864,15448,3431,3722,4294966764,4294966417,4294966844,12632,7102,8990,2880,448,13,14798,4294963320,6076,204,904,581,4294966726,4294966726,4294966726
1256288849,6464851,6476038,15448,3435,3761,4294966749,4294966319,4294966840,12697,7249,9010,2747,310,35,14773,4294963494,6036,107,989,596,4294966717,4294966717,4294966717
1256294833,6465710,6476434,15566,3353,3683,4294966780,4294966254,4294966872,12615,7323,9002,2739,162,112,14949,4294963520,5964,4294967218,1051,587,4294966727,4294966727,4294966727
1256300847,6465726,6476348,15589,3330,3640,4294966817,4294966227,4294966895,12715,7397,8964,2467,83,150,14811,4294963489,6022,4294966891,1088,702,4294966714,4294966714,4294966714
1256306843,6465071,6476301,15699,3272,3579,4294966926,4294966238,4294966891,12666,7399,8989,2145,89,160,14674,4294963444,6090,4294966730,978,758,4294966719,4294966719,4294966719
1256312854,6465571,6476668,15702,3320,3511,4294967012,4294966245,4294966915,12920,7533,8957,2084,4294967293,95,14534,4294963266,6268,4294966676,640,760,4294966715,4294966715,4294966715
1256318835,6465822,6476469,15719,3274,3470,4294967049,4294966333,4294966925,12348,7279,9103,1842,196,164,14810,4294963125,6356,4294966644,222,718,4294966726,4294966726,4294966726
1256324853,6465007,6476116,15748,3235,3378,4294967080,4294966483,4294966910,12280,7475,9034,2106,1,228,14785,4294963166,6478,4294966894,4294967216,710,4294966712,4294966712,4294966712
1256330843,6465296,6476280,15658,3263,3416,4294967147,4294966671,4294966905,12205,7503,9065,1730,345,288,14838,4294963264,6549,4294966957,4294966992,729,4294966722,4294966722,4294966722
1256336852,6465708,6476398,15637,3302,3399,4294967173,4294966863,4294966914,12161,7478,8909,1911,502,274,15363,4294963162,6393,4294967111,4294967120,678,4294966713,4294966713,4294966713
1256342849,6465170,6476145,15579,3335,3342,4294967207,4294967026,4294966946,12058,7458,8850,1834,771,306,15066,4294963288,6383,4294967038,4294967239,677,4294966717,4294966717,4294966717
1256348841,6465191,6476255,15504,3422,3427,4294967225,4294967143,4294966994,12007,7542,8804,1790,928,262,14994,4294963294,6410,4294967160,4294967180,605,4294966721,4294966721,4294966721
1256354854,6465668,6476485,15510,3390,3520,4294967246,4294967212,4294967029,12022,7445,8618,2054,943,163,15285,4294963309,6230,0,4294967214,750,4294966710,4294966710,4294966710
1256360856,6465704,6476501,15455,3445,3595,4294967237,4294967207,4294967075,12173,7470,8648,2165,1071,156,15737,4294963619,6104,4294967130,14,769,4294966715,4294966715,4294966715
1256366838,6465100,6476151,15418,3520,3575,4294967234,4294967153,4294967113,12521,7631,8638,2289,1018,50,15303,4294963312,6186,4294967291,190,1103,4294966724,4294966724,4294966724
1256372832,6465370,6476503,15393,3499,3576,4294967237,4294967058,4294967114,12379,7544,8820,1843,1201,4294967231,15089,4294963224,6345,4294967059,89,727,4294966728,4294966728,4294966728
1256378843,6465511,6476260,15341,3481,3606,4294967193,4294967002,4294967113,12249,7522,8973,2003,943,111,15432,4294963166,6308,4294966982,4294967281,719,4294966719,4294966719,4294966719
1256384834,6464807,6475798,15288,3479,3572,4294967191,4294966939,4294967076,12373,7569,9076,1978,742,129,15472,4294963021,6523,4294967227,45,696,4294966724,4294966724,4294966724
1256390855,6464999,6476176,15350,3475,3527,4294967160,4294966918,4294967072,12114,7454,9152,1860,540,95,15318,4294963065,6578,126,79,556,4294966711,4294966711,4294966711
1256396847,6465742,6476561,15282,3517,3429,4294967190,4294966916,4294967043,12211,7658,9259,1735,387,115,15296,4294963019,6562,201,4294967211,368,4294966720,4294966720,4294966720
1256402844,6465232,6476405,15277,3550,3413,4294967255,4294966971,4294967033,11923,7494,9234,1375,360,121,14973,4294963161,6605,373,4294967032,300,4294966719,4294966719,4294966719
1256408834,6464779,6476049,15286,3541,3462,63,4294967062,4294967050,11911,7481,8993,1144,353,66,15299,4294963074,6465,594,4294967157,313,4294966727,4294966727,4294966727
1256414837,6465476,6476207,15295,3664,3428,165,4294967139,4294967104,12171,7522,8741,892,516,99,15011,4294963164,6475,1003,76,622,4294966723,4294966723,4294966723
1256420850,6465146,6476242,15322,3784,3321,281,4294967251,4294967159,12130,7370,8598,909,676,142,14917,4294963300,6450,741,4294967110,265,4294966716,4294966716,4294966716
1256426874,6464318,6475719,15371,3944,3320,396,70,4294967245,11856,7204,8537,948,1085,189,14984,4294963203,6451,559,4294966892,122,4294966700,4294966700,4294966700
1256432840,6464616,6475835,15329,4050,3392,524,205,39,11558,7070,8517,806,1066,4294967104,15156,4294963178,6197,460,4294966906,114,4294966724,4294966724,4294966724
1256438845,6465611,6476450,15355,4099,3403,608,276,149,11624,7140,8528,646,994,4294966695,15156,4294962992,6176,212,4294966884,4294967226,4294966720,4294966720,4294966720
1256444835,6464798,6475883,15366,4197,3322,620,272,218,12233,7185,8492,685,1048,4294966564,15222,4294962665,6206,572,4294967002,4294967180,4294966723,4294966723,4294966723
