t_us,ads_ch1,ads_ch2,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,dt0_us,dt1_us,dt2_us
1089726842,6462535,6471775,13916,5396,6009,165,4294966876,4294967197,10881,6833,10678,419,442,4294967189,13476,4294963860,9058,188,570,302,4294966721,4294966721,4294966721
1089732847,6462630,6471669,13911,5376,5970,200,4294966865,4294967214,10862,6823,10628,382,513,4294967173,13472,4294963903,9009,168,605,345,4294966720,4294966720,4294966720
1089738848,6462288,6471541,13934,5378,5843,210,4294966883,4294967253,10838,6842,10444,397,637,4294967161,13388,4294963980,8995,190,634,347,4294966715,4294966715,4294966715
1089744862,6462263,6471571,13959,5421,5934,213,4294966859,4294967286,10841,6873,10433,402,712,4294967116,13394,4294963888,8920,205,664,364,4294966706,4294966706,4294966706
1089750857,6462297,6471537,13896,5429,5907,220,4294966838,1,10940,6953,10523,431,712,4294967091,13391,4294963859,8939,213,691,327,4294966711,4294966711,4294966711
1089756844,6462115,6471785,13909,5382,5844,169,4294966836,4294967284,10943,6965,10551,393,675,4294967071,13401,4294963798,8910,250,678,297,4294966722,4294966722,4294966722
1089762848,6462184,6472339,13845,5398,5932,138,4294966886,4294967277,10954,7075,10552,367,581,4294967081,13364,4294963769,8882,249,604,273,4294966715,4294966715,4294966715
1089768849,6463522,6473599,13885,5423,5844,87,4294966901,4294967260,11040,7064,10555,330,481,4294967108,13408,4294963740,8875,215,490,255,4294966719,4294966719,4294966719
1089774850,6466243,6475729,13900,5428,5923,30,4294966948,4294967271,11026,6995,10524,411,453,4294967134,13463,4294963768,8902,161,396,232,4294966715,4294966715,4294966715
1089780841,6468666,6479607,13924,5474,5880,4,4294966957,4294967264,11055,7037,10494,549,465,4294967155,13456,4294963698,8914,57,381,214,4294966721,4294966721,4294966721
1089786840,6467536,6480208,13947,5474,5895,4294967264,4294966973,4294967294,11068,6951,10373,664,541,4294967145,13533,4294963711,8961,4294967238,359,176,4294966724,4294966724,4294966724
1089792849,6463694,6473691,13975,5443,5942,4294967269,4294966986,22,11065,6930,10469,746,556,4294967121,13526,4294963706,8982,4294967231,268,130,4294966720,4294966720,4294966720
1089798858,6460090,6467649,14004,5506,5929,4294967264,4294966997,40,11127,6931,10501,755,621,4294967093,13531,4294963629,9122,24,199,79,4294966710,4294966710,4294966710
1089804867,6459200,6468560,14073,5440,5767,4294967244,4294967003,68,11093,6848,10516,801,618,4294967026,13489,4294963701,9110,91,145,86,4294966708,4294966708,4294966708
1089810831,6459898,6470189,14134,5447,5811,4294967192,4294967020,64,11055,6849,10524,773,742,4294966965,13485,4294963648,9040,129,217,37,4294966725,4294966725,4294966725
1089816842,6460989,6470676,14173,5327,5862,4294967138,4294967005,38,10972,6850,10497,754,797,4294966907,13421,4294963630,9029,122,295,7,4294966720,4294966720,4294966720
1089822850,6461973,6471672,14150,5273,5837,4294967054,4294967002,19,11057,6996,10320,790,819,4294966880,13404,4294963541,9237,50,373,4294967263,4294966718,4294966718,4294966718
1089828838,6462798,6472642,14157,5228,5835,4294966967,4294967057,4294967249,11069,6965,10458,735,742,4294966833,13370,4294963471,9249,45,364,4294967220,4294966722,4294966722,4294966722
