t_us,ads_ch1,ads_ch2,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,dt0_us,dt1_us,dt2_us
936698857,6463203,6472750,13707,5311,6116,4294967125,4294967281,97,10867,6803,10829,1052,430,4294967295,13671,4294964122,8548,78,129,73,4294966713,4294966713,4294966713
936704865,6463346,6474142,13835,5272,6066,4294967121,4294967173,113,10894,6840,10938,1165,404,4294967278,13808,4294964084,8613,163,161,115,4294966708,4294966708,4294966708
936710840,6464088,6475128,13858,5266,6091,4294967114,4294967096,115,10878,6926,10779,1278,388,4294967233,13802,4294964012,8625,218,191,194,4294966722,4294966722,4294966722
936716863,6465396,6476414,14041,5258,5946,4294967085,4294967051,109,10855,6992,10735,1306,339,4294967184,13864,4294963988,8574,221,174,226,4294966710,4294966710,4294966710
936722860,6466210,6477385,14082,5145,5861,4294967055,4294967043,78,10865,7050,10606,1324,355,4294967147,14022,4294963884,8448,162,143,279,4294966710,4294966710,4294966710
936728841,6465927,6477426,14118,5217,5848,4294967047,4294967022,41,10977,7133,10573,1373,464,4294967172,14223,4294963934,8370,116,118,374,4294966718,4294966718,4294966718
936734839,6466517,6477586,14080,5110,6026,4294967037,4294967084,4294967248,10995,7260,10576,1442,636,4294967198,14232,4294963831,8352,23,133,379,4294966721,4294966721,4294966721
936740843,6466924,6478018,14022,5020,6122,4294967019,4294967147,4294967166,10967,7258,10594,1572,648,4294967228,14282,4294963839,8441,4294967198,104,355,4294966719,4294966719,4294966719
936746836,6466461,6477818,13961,4980,6364,4294966962,4294967191,4294967066,10985,7321,10616,1614,628,4294967268,14300,4294963736,8552,4294967023,36,327,4294966721,4294966721,4294966721
936752859,6467011,6478262,13831,5000,6421,4294966875,4294967221,4294966997,11004,7331,10561,1610,636,39,14248,4294963691,8578,4294967066,4294967271,281,4294966711,4294966711,4294966711
936758837,6467324,6478748,13883,5044,6501,4294966879,4294967274,4294966973,11031,7255,10694,1613,652,42,14179,4294963671,8626,4294967247,4294967194,245,4294966723,4294966723,4294966723
936764847,6467172,6478615,13925,5054,6442,4294966877,4294967240,4294967003,11043,7256,10667,1566,724,100,14142,4294963732,8653,251,4294967202,238,4294966719,4294966719,4294966719
936770839,6466854,6478352,14130,5089,6214,4294966953,4294967103,4294967045,11028,7232,10756,1537,820,123,14092,4294963773,8781,553,4294967258,214,4294966721,4294966721,4294966721
936776832,6467139,6478818,14197,5062,6158,4294967112,4294966992,4294967106,10963,7112,10579,1580,841,147,13996,4294963841,8899,809,4294967250,203,4294966727,4294966727,4294966727
936782844,6467520,6479211,14212,5109,6132,4294967193,4294966928,4294967129,11045,7215,10401,1664,836,131,13924,4294963842,8902,967,4294967263,222,4294966718,4294966718,4294966718
936788861,6467358,6478966,14344,5051,5919,4294967276,4294966926,4294967146,11069,7308,10196,1549,891,108,13996,4294963888,8809,1077,4294967255,217,4294966707,4294966707,4294966707
936794841,6467998,6479527,14271,5070,5971,4294967261,4294967023,4294967132,11185,7370,10088,1582,938,113,14014,4294963809,8628,983,55,226,4294966719,4294966719,4294966719
936800833,6468143,6479683,14296,4994,5821,4294967222,4294967180,4294967100,11307,7468,10153,1614,957,73,14049,4294963828,8428,939,4294967295,213,4294966728,4294966728,4294966728
936806859,6467079,6479094,14290,4889,5828,4294967166,82,4294967039,11298,7380,10302,1499,881,45,14141,4294963792,8224,793,4294967292,200,4294966709,4294966709,4294966709
936812849,6467564,6479458,14199,4951,5957,4294967142,236,4294966964,11232,7263,10555,1564,743,25,14280,4294963804,8101,579,36,242,4294966716,4294966716,4294966716
936818861,6468122,6479550,14073,5055,6006,4294967157,429,4294966896,11203,7370,10599,1991,621,30,14280,4294963842,8145,394,4294967262,277,4294966711,4294966711,4294966711
936824849,6467243,6479042,14213,4940,5806,4294967095,616,4294966910,11050,7382,10730,2043,567,4294967248,14326,4294963924,8182,341,4294967207,316,4294966717,4294966717,4294966717
936830851,6466879,6478875,14054,4959,5987,4294967189,717,4294966891,10941,7385,10712,2160,574,4294967294,14267,4294964028,8248,280,4294967128,394,4294966718,4294966718,4294966718
936836855,6467140,6479361,14015,5024,6074,4294967199,758,4294966887,10944,7467,10673,2126,650,40,14291,4294964111,8225,370,4294967117,494,4294966708,4294966708,4294966708
936842843,6467746,6479646,13809,5225,6316,4294967081,671,4294966833,10932,7585,10654,1986,792,65,14302,4294964198,8199,460,4294967160,539,4294966717,4294966717,4294966717
936848848,6467353,6479961,13996,5104,6334,4294966923,616,4294966811,10923,7481,10526,1881,1000,160,14281,4294964254,8095,650,4294967180,584,4294966721,4294966721,4294966721
936854848,6467808,6480242,14003,5108,6240,4294967015,430,4294966826,10865,7537,10551,1803,1097,105,14329,4294964196,8072,819,4294967241,637,4294966717,4294966717,4294966717
936860853,6468665,6480721,13933,5201,6375,4294967090,257,4294966841,10956,7757,10544,1557,1242,316,14241,4294964205,8115,948,71,554,4294966714,4294966714,4294966714
936866831,6468161,6480740,13826,5224,6438,4294966924,59,4294966811,10654,7516,10563,1778,1244,354,14284,4294964217,8081,911,171,479,4294966730,4294966730,4294966730
