t_us,ads_ch1,ads_ch2,ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,dt0_us,dt1_us,dt2_us
53098964,6462273,6473576,15406,3640,3499,4294967011,4294967244,4294966967,11963,7244,9255,1238,749,4294967289,15164,4294963866,5860,584,336,400,4294966709,4294966709,4294966709
53104946,6462242,6473569,15340,3627,3487,4294966988,4294967281,4294966958,12048,7266,9148,1192,748,22,15177,4294963834,5872,585,349,412,4294966722,4294966722,4294966722
53110955,6460348,6472601,15256,3591,3492,4294966995,13,4294966970,11992,7295,9088,1162,692,4294967294,15217,4294963824,6011,513,324,386,4294966715,4294966715,4294966715
53116963,6461710,6473196,15150,3563,3508,4294967013,4294967285,4294966977,12001,7271,9196,1021,616,22,15251,4294963795,5809,424,310,390,4294966711,4294966711,4294966711
53122953,6462316,6472955,15167,3518,3455,4294967070,4294967237,4294966990,12062,7190,9313,935,513,68,15253,4294963902,5609,342,369,417,4294966718,4294966718,4294966718
53128949,6461609,6473130,15197,3517,3549,4294967152,4294967179,4294966991,12023,7226,9364,985,437,50,15226,4294963842,5627,297,430,401,4294966720,4294966720,4294966720
53134965,6461316,6472894,15257,3498,3454,4294967193,4294967077,4294967004,11970,7341,9386,1078,327,79,15201,4294963866,5714,323,410,419,4294966709,4294966709,4294966709
53140955,6462024,6472726,15296,3449,3454,4294967271,4294966962,4294967062,11895,7479,9227,995,232,119,15282,4294963919,6066,321,334,393,4294966717,4294966717,4294966717
53146951,6461163,6472516,15300,3488,3406,4294967267,4294966857,4294967102,11886,7493,9276,905,175,127,15145,4294963838,6037,345,329,403,4294966719,4294966719,4294966719
53152944,6460742,6472597,15379,3431,3334,13,4294966825,4294967170,11937,7455,9310,780,120,134,15142,4294963858,5895,358,376,397,4294966725,4294966725,4294966725
53158950,6462018,6472832,15381,3483,3264,11,4294966858,4294967187,11870,7389,9294,703,98,118,14980,4294963972,5952,339,412,422,4294966723,4294966723,4294966723
53164948,6462017,6473305,15423,3495,3307,4294967267,4294966923,4294967200,11889,7394,9214,675,126,116,14976,4294964017,6043,257,457,503,4294966719,4294966719,4294966719
53170944,6461207,6473087,15469,3461,3281,4294967202,4294967023,4294967184,11854,7297,9214,692,172,141,14921,4294963961,5997,238,513,572,4294966725,4294966725,4294966725
53176972,6461510,6473039,15492,3382,3366,4294967115,4294967095,4294967144,11865,7309,9375,764,271,133,14742,4294963936,6123,237,490,582,4294966708,4294966708,4294966708
53182955,6462093,6473097,15482,3388,3551,4294967022,4294967181,4294967077,11775,7308,9431,858,301,160,14711,4294963870,6169,266,406,629,4294966713,4294966713,4294966713
53188944,6461401,6473311,15464,3320,3541,4294966938,4294967243,4294967028,11708,7352,9469,910,310,171,14765,4294963897,6208,390,343,701,4294966725,4294966725,4294966725
53194955,6460903,6472893,15492,3413,3544,4294966871,4294967259,4294966977,11712,7400,9522,997,334,148,14854,4294963947,6151,386,332,691,4294966715,4294966715,4294966715
53200970,6462041,6473120,15457,3402,3552,4294966860,4294967280,4294966957,11739,7357,9417,1036,387,172,14845,4294963940,6114,337,347,708,4294966705,4294966705,4294966705
53206959,6461418,6472884,15458,3508,3454,4294966828,4294967285,4294966952,11717,7341,9467,1079,420,150,14903,4294963935,5973,172,345,753,4294966712,4294966712,4294966712
53212960,6460791,6472733,15437,3659,3432,4294966856,4294967286,4294967009,11733,7365,9276,1130,503,109,14961,4294963984,6030,4294967285,310,763,4294966716,4294966716,4294966716
53218970,6462094,6473169,15429,3690,3460,4294966926,1,4294967048,11727,7351,9192,1159,602,81,15029,4294963966,6047,4294967065,283,766,4294966708,4294966708,4294966708
53224941,6461836,6473181,15458,3785,3432,4294967029,3,4294967150,11714,7442,9224,1283,687,99,14966,4294963891,6195,4294967045,169,792,4294966726,4294966726,4294966726
53230958,6461044,6473334,15489,3822,3426,4294967138,2,4294967246,11745,7533,9243,1288,770,99,15058,4294963893,6255,4294967092,22,792,4294966714,4294966714,4294966714
53236968,6461882,6473243,15449,3828,3471,4294967222,4294967289,20,11669,7592,9286,1326,757,83,15127,4294963904,6202,4294967084,4294967188,776,4294966709,4294966709,4294966709
53242951,6462332,6473198,15443,3858,3420,4294967277,4294967272,94,11695,7547,9348,1291,753,80,15193,4294963923,6303,4294967077,4294967151,787,4294966722,4294966722,4294966722
53248956,6460880,6472887,15329,3823,3441,20,4294967294,163,11710,7455,9387,1327,691,50,15089,4294963792,6315,4294967208,4294967026,793,4294966715,4294966715,4294966715
53254953,6460973,6473061,15347,3792,3436,4294967290,4294967272,190,11703,7396,9396,1314,699,69,15273,4294963720,6208,4294967256,4294966949,750,4294966721,4294966721,4294966721
53260955,6462060,6472851,15327,3780,3341,4294967254,4294967238,229,11726,7416,9353,1304,717,15,15309,4294963676,6264,4294967282,4294966963,689,4294966716,4294966716,4294966716
53266961,6461702,6472913,15319,3712,3305,4294967259,4294967203,243,11771,7443,9388,1304,699,4294967294,15314,4294963627,6225,56,4294966990,651,4294966714,4294966714,4294966714
53272962,6460694,6472823,15302,3773,3287,28,4294967157,255,11744,7373,9421,1020,713,4294967158,15265,4294963645,6201,60,4294967059,602,4294966712,4294966712,4294966712
53278946,6462299,6473291,15292,3756,3218,40,4294967141,249,11745,7377,9389,1197,621,4294967112,15351,4294963708,6016,49,4294967125,563,4294966724,4294966724,4294966724
53284960,6462444,6473484,15307,3780,3251,48,4294967162,260,11766,7479,9364,1387,542,4294967175,15312,4294963725,6005,4294967285,4294967239,559,4294966717,4294966717,4294966717
53290940,6461182,6473456,15249,3821,3282,34,4294967187,242,11859,7511,9325,1220,580,4294967131,15347,4294963783,6036,4294967222,68,576,4294966727,4294966727,4294966727
53296953,6461870,6473327,15312,3845,3280,5,4294967216,255,11848,7579,9361,1256,554,4294967168,15326,4294963770,6016,4294967174,119,558,4294966719,4294966719,4294966719
53302948,6462435,6473659,15303,3839,3378,4294967279,4294967260,252,11940,7595,9195,1327,535,4294967186,15339,4294963670,6042,4294967125,118,546,4294966722,4294966722,4294966722
53308943,6460957,6473386,15325,3787,3309,4294967218,4294967236,267,11975,7606,9175,1292,551,4294967153,15297,4294963559,5987,4294967208,91,507,4294966725,4294966725,4294966725
53314951,6461438,6473338,15366,3848,3474,4294967172,4294967199,243,12014,7564,9143,1270,521,4294967188,15289,4294963470,6034,75,40,475,4294966721,4294966721,4294966721
53320938,6462159,6473080,15393,3742,3486,4294967156,4294967127,232,12175,7647,9174,1341,497,4294967186,15261,4294963497,6026,209,41,355,4294966728,4294966728,4294966728
53326953,6461663,6473008,15425,3756,3483,4294967133,4294967048,204,12113,7533,9087,1331,457,4294967220,15225,4294963552,6078,445,4294967271,348,4294966715,4294966715,4294966715
53332943,6460584,6472815,15459,3712,3544,4294967113,4294967006,157,12171,7532,9108,1414,398,4294967292,15277,4294963600,6082,630,4294967212,328,4294966722,4294966722,4294966722
53338934,6461994,6473333,15480,3632,3488,4294967076,4294966961,138,12241,7585,9031,1427,329,0,15421,4294963643,5973,684,4294967195,260,4294966729,4294966729,4294966729
53344953,6462092,6472893,15562,3586,3519,4294967021,4294966928,90,12268,7552,8880,1305,269,26,15361,4294963596,5951,544,4294967216,283,4294966718,4294966718,4294966718
53350957,6461077,6473191,15572,3472,3590,4294966947,4294966902,37,12373,7595,8768,1287,240,66,15287,4294963437,5896,543,4294967153,268,4294966715,4294966715,4294966715
53356961,6462033,6473524,15586,3352,3582,4294966866,4294966867,4294967255,12438,7548,8726,1055,290,78,15256,4294963252,5706,400,4294967078,287,4294966713,4294966713,4294966713
53362954,6462492,6473240,15613,3316,3555,4294966852,4294966821,4294967192,12530,7506,8788,1234,218,133,15159,4294963024,5626,187,4294966983,210,4294966718,4294966718,4294966718
53368955,6460720,6472658,15638,3208,3580,4294966855,4294966738,4294967136,12564,7535,8758,1326,167,216,15291,4294962985,5501,79,4294966912,165,4294966715,4294966715,4294966715
53374950,6460938,6472640,15675,3150,3561,4294966849,4294966663,4294967033,12637,7458,8816,1306,161,252,15300,4294963075,5422,4294967195,4294966794,136,4294966721,4294966721,4294966721
53380953,6462101,6472670,15682,3136,3501,4294966882,4294966640,4294966929,12547,7445,8814,1438,110,316,15468,4294963437,5155,4294967107,4294966796,225,4294966716,4294966716,4294966716
53386944,6461233,6472874,15742,3082,3479,4294966924,4294966638,4294966823,12557,7421,8850,1492,107,330,15718,4294963864,5033,4294967149,4294966914,406,4294966725,4294966725,4294966725
53392953,6461104,6472738,15719,3073,3429,4294966987,4294966721,4294966749,12465,7409,8853,1526,134,355,15873,4294964083,4918,116,4294967105,684,4294966719,4294966719,4294966719
53398958,6462028,6472413,15773,3043,3288,4294967110,4294966835,4294966669,12350,7430,8849,1560,226,367,15842,4294964171,5104,498,23,1026,4294966716,4294966716,4294966716
53404958,6461771,6472272,15764,3059,3255,4294967286,4294966989,4294966607,12189,7428,8890,1713,367,347,15677,4294964107,5230,610,151,1132,4294966715,4294966715,4294966715
53410964,6460132,6471842,15666,3184,3148,121,4294967140,4294966573,12045,7584,8876,1730,543,308,15711,4294963799,5306,673,218,1224,4294966709,4294966709,4294966709
53416948,6461064,6472211,15632,3286,3125,223,4294967272,4294966548,12088,7682,8788,1697,719,286,15686,4294963665,5503,943,410,1296,4294966718,4294966718,4294966718
53422962,6461816,6472449,15532,3333,3082,283,76,4294966547,12011,7712,8727,1301,899,272,15401,4294963517,5624,744,355,1049,4294966713,4294966713,4294966713
53428956,6460662,6473295,15508,3509,3161,293,160,4294966556,11819,7700,8809,1402,926,211,15546,4294963456,5530,843,317,845,4294966716,4294966716,4294966716
53434952,6461649,6473914,15437,3547,3141,316,166,4294966586,11896,7835,8903,1285,1113,223,15582,4294963504,5595,855,461,754,4294966719,4294966719,4294966719
53440971,6464266,6474948,15355,3610,3181,253,146,4294966638,11641,7614,8995,1369,1063,144,15471,4294963554,5566,920,699,813,4294966707,4294966707,4294966707
53446945,6466377,6477406,15282,3665,3182,263,121,4294966743,11693,7727,9041,1335,1040,116,15128,4294963549,5742,744,778,400,4294966724,4294966724,4294966724
53452944,6467155,6480918,15225,3650,3237,177,14,4294966818,11729,7814,9148,1236,969,62,15163,4294963419,5890,696,746,168,4294966725,4294966725,4294966725
53458950,6464726,6476041,15211,3708,3359,168,4294967180,4294966875,11635,7782,9212,1249,860,72,14953,4294963593,5885,697,777,70,4294966717,4294966717,4294966717
53464955,6460131,6468420,15137,3735,3508,57,4294967031,4294966923,11624,7860,9271,1282,709,72,15118,4294963717,5761,388,783,4294967205,4294966716,4294966716,4294966716
53470949,6456323,6465660,15123,3718,3593,4294967284,4294966857,4294966970,11551,7819,9568,1093,554,71,15143,4294963859,5786,53,836,4294967058,4294966722,4294966722,4294966722
53476939,6456865,6466813,15129,3641,3650,4294967198,4294966629,4294966974,11591,7790,9721,919,437,29,14867,4294963836,5712,4294967247,726,4294967124,4294966728,4294966728,4294966728
